repository,category,purpose,maturity_analysis,homelab_recommendation,url,default_branch,commit_sha,default_commit_date,repository_created_at,repository_pushed_at,archived,fork,license_spdx_detected,tree_entries,tree_truncated,open_issues,open_pull_requests,latest_github_release,release_prerelease,release_published_at,source_url
suitenumerique/drive,Applications,"Fichiers, partage, bureautique via éditeurs externes",Produit publié ; v0.21.1,Conserver Apoze/drive : espaces S3/NAS et quotas déjà qualifiés localement. Adapter les intégrations au modèle Ressource.,https://github.com/suitenumerique/drive,main,fbb76dc3fa1895a9e6ddcb647d2d6075bf0ae35a,2026-09-04T13:29:18Z,2025-01-29T08:11:14Z,2026-09-04T17:49:23Z,False,False,MIT,1127,False,80,40,v0.21.1,False,2026-08-24T07:40:15Z,https://github.com/suitenumerique/drive/blob/fbb76dc3fa1895a9e6ddcb647d2d6075bf0ae35a/README.md
suitenumerique/docs,Applications,"Notes, wiki, documents structurés, coédition ; serveur Y séparé",Produit publié ; v5.6.1,"Intégrer. PostgreSQL, Redis, S3, workers et collaboration ; qualifier le Compose expérimental et les exports.",https://github.com/suitenumerique/docs,main,3c1275c88da39abb71e045c7deaba3844ca9ac49,2026-09-04T16:19:06Z,2024-01-09T14:17:32Z,2026-09-06T11:50:48Z,False,False,MIT,1859,False,330,50,v5.6.1,False,2026-09-04T21:29:52Z,https://github.com/suitenumerique/docs/blob/3c1275c88da39abb71e045c7deaba3844ca9ac49/README.md
suitenumerique/meet,Applications,"Visio sur LiveKit ; SDK, enregistrement et summary dans le même dépôt",Produit publié ; v1.30.0,"Intégrer. Configurer réseau WebRTC/TURN ; enregistrement, transcription et téléphonie en options distinctes.",https://github.com/suitenumerique/meet,main,adc74f846c11537798a50455ea33e98cf1517b02,2026-09-05T08:43:22Z,2024-06-25T10:33:23Z,2026-09-05T08:43:22Z,False,False,MIT,1446,False,124,42,v1.30.0,False,2026-09-01T19:53:02Z,https://github.com/suitenumerique/meet/blob/adc74f846c11537798a50455ea33e98cf1517b02/README.md
suitenumerique/projects,Applications,"Projets, tableaux Kanban, tâches, pièces jointes ; Node/React",Produit publié ; v1.2.0,"Intégrer si gestion de projets souhaitée. OIDC, PostgreSQL, S3 possible ; liaison des pièces jointes Drive encore à développer.",https://github.com/suitenumerique/projects,main,091591943c6dbd7ddb37951b2187d7485a0d4df5,2026-09-02T05:38:45Z,2025-04-30T09:02:56Z,2026-09-06T03:40:32Z,False,False,AGPL-3.0,1212,False,34,32,v1.2.0,False,2026-02-06T18:09:52Z,https://github.com/suitenumerique/projects/blob/091591943c6dbd7ddb37951b2187d7485a0d4df5/README.md
suitenumerique/messages,Applications,"Boîtes mail personnelles/partagées ; SMTP, web et mobile",Produit jeune ; application v0.9.0,"Intégrer pour le mail collaboratif web. PostgreSQL, Redis, stockage, MTA/filtrage ; pas de serveur IMAP/POP3, ni de serveur JMAP complet livré.",https://github.com/suitenumerique/messages,main,8e8d9e126172421fc55e7306be79a581c0b6721c,2026-08-28T23:23:24Z,2025-04-13T16:46:34Z,2026-09-05T16:14:29Z,False,False,MIT,2004,False,83,21,jmap-email-0.3.0,False,2026-08-05T22:35:35Z,https://github.com/suitenumerique/messages/blob/8e8d9e126172421fc55e7306be79a581c0b6721c/README.md
suitenumerique/calendars,Applications,"Agendas, invitations, ressources ; Django et SabreDAV",Première version v0.1.0,"Intégrer après pilote. CalDAV et raccordement Messages existent ; corriger les défauts bloquants et qualifier clients, récurrences et droits.",https://github.com/suitenumerique/calendars,main,9bb5200e2a6c9fd5a99a8f7e502eff8fb1cc416f,2026-06-24T15:12:20Z,2025-12-27T16:22:18Z,2026-09-06T00:27:07Z,False,False,MIT,608,False,17,7,v0.1.0,False,2026-06-18T07:19:56Z,https://github.com/suitenumerique/calendars/blob/9bb5200e2a6c9fd5a99a8f7e502eff8fb1cc416f/README.md
suitenumerique/transfers,Applications,"Envois temporaires, expiration, multipart, modes chiffrés ; Django/React/S3",Code actif ; aucune release GitHub publiée,Intégrer après correction du sélecteur Drive et qualification des modes de confidentialité. Ne pas doubler France Transfert sans besoin distinct.,https://github.com/suitenumerique/transfers,main,1d3c1eda9d2402fe6961cf0d7f0cbf8d10a50c9a,2026-08-24T12:51:32Z,2026-04-09T12:33:28Z,2026-09-02T14:57:25Z,False,False,MIT,286,False,0,4,,,,https://github.com/suitenumerique/transfers/blob/1d3c1eda9d2402fe6961cf0d7f0cbf8d10a50c9a/README.md
suitenumerique/dictaphone,Applications,"Assistant Transcripts : enregistrements, transcription, web et mobile","Produit publié ; web/backend v0.12.2, mobile versionné séparément","Option utile. Dépend du pipeline summary de Meet, WhisperX, PostgreSQL, Redis et S3 ; dimensionner le traitement audio.",https://github.com/suitenumerique/dictaphone,main,dea3b3f6aeefab5a643f1bbdee257f1bfbdedc9a,2026-09-04T07:22:39Z,2026-03-05T13:44:03Z,2026-09-04T09:07:21Z,False,False,MIT,822,False,4,7,v0.12.2,False,2026-09-01T11:08:05Z,https://github.com/suitenumerique/dictaphone/blob/dea3b3f6aeefab5a643f1bbdee257f1bfbdedc9a/README.md
suitenumerique/conversations,Applications,"Assistant IA ; outils, pièces jointes, export texte vers Docs",Développement précoce annoncé ; v0.0.22,"Intégrer comme module optionnel. Fournisseur LLM/embeddings à choisir ; Compose annoncé en préparation, API Docs déjà documentée.",https://github.com/suitenumerique/conversations,main,4d6edc79be5ccfa34e57497a07311e8a1f2bba74,2026-09-02T21:04:23Z,2025-06-26T08:12:01Z,2026-09-03T23:14:02Z,False,False,MIT,1141,False,82,24,v0.0.22,False,2026-08-10T13:20:37Z,https://github.com/suitenumerique/conversations/blob/4d6edc79be5ccfa34e57497a07311e8a1f2bba74/README.md
suitenumerique/calc,Applications,Tableur basé sur Docs et IronCalc,Prototype explicite ; aucune release ; branche principale inchangée depuis juin 2025,"Différer. Collabora/ONLYOFFICE couvrent déjà les classeurs ; Grist couvre les données structurées. Reprise Calc = chantier produit, pas simple installation.",https://github.com/suitenumerique/calc,main,27a5a6d717a340e05f34533cc7457bb955bb741f,2025-06-03T20:34:13Z,2025-06-02T09:53:14Z,2026-09-04T19:59:30Z,False,False,MIT,937,False,1,13,,,,https://github.com/suitenumerique/calc/blob/27a5a6d717a340e05f34533cc7457bb955bb741f/README.md
